Designator,Mid X,Mid Y,Rotation,Layer
C1,131.52,-126.27,180.0,top
C2,131.53,-124.51,180.0,top
C3,128.96,-121.53,90.0,top
C4,126.87,-121.52,90.0,top
C5,111.56,-127.31,0.0,top
C6,128.59,-111.49,270.0,top
C7,128.68,-117.22,270.0,top
IC1,121.01,-121.57,180.0,top
J1,120.26,-132.94,270.0,top
J2,121.0,-109.0,180.0,bottom
J3,105.2787,-116.205,180.0,top
J4,135.24,-103.79,180.0,top
J5,110.83,-105.225,0.0,top
J6,105.26,-105.195,0.0,top
J7,135.85,-125.99,0.0,top
R1,107.62,-130.96,90.0,top
R2,105.143,-127.287,180.0,top
SW1,111.5,-130.97,270.0,top
SW2,105.09,-130.97,90.0,top
U1,133.4425,-113.01,90.0,top
Y1,128.61,-125.38,270.0,top
