Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",402,2,24pF,C22728
"C10, C14",402,2,100nF,C307331
"C11, C21, C34, C37, C5, C7",402,6,100nF,C307331
"C25,C52",805,2,47uF,C16780
"C12, C17, C30",805,3,1uF,C28323
"C13, C15, C16, C38, C8",402,5,1UF,C52923
C18,603,1,1uF,C15849
C19,CP_Elec_10x10,1,470uF,C3350
"C20, C22,C23, C24, C31",805,5,100nF,C28233
"C26, C27",805,2,22uF,C45783
C29,805,1,10pF,C1785
"C3, C4",402,2,5pF,C126513
"C32, C33",402,2, 2.2 μF,C60078
"C35, C36",402,2,1nF,C1523
C6,603,1,100nF,C180354
C9,805,1,47uF,C16780
D1,D_SOD-123,1,D,C81601
D2,805,1,LED,C2297
FB2,603,1,600 @ 100mhz,C1002
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
L1,L_7.3x7.3_H3.5,1,10uH,C514808
L7,402,1,L,C97981
"Q1, Q2, Q3, Q4",SOT-23,4,MMBT2222A 1P,C8512
Q5,SOT-23,1,BSS138,C8545
"R1, R5, R7, R8",402,4,5k1,C25941
"R10, R13",1206,2,12K,C844225
"R11, R14, R36, R40",603,4,1K,C21190
"R12, R15",1206,2,3.3K,C26032
"R19, R20, R21, R22, R23, R25, R27, R28, R29, R30, R31, R33, R41, R42, R43",603,15,10K,C25804
R2,805,1,4.7K,C17673
"R24, R26, R32, R34",603,4,2K,C22975
R3,402,1,47R,C1096
R35,603,1,3M3,C21190
"R37, R38",805,2,15K,C17475
R39,805,1,80.6K,C41949
R4,603,1,100R,C22775
R51,603,1,100R,C22775
R6,603,1,15K,C17475
R9,402,1,1K,C11702
SW1,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,EN,C139797
SW2,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,BOOT,C139797
"U10, U11, U8, U9",AP3P3R0MT,4,PMOS,C380188
"U12, U7",SOP-8_3.9x4.9mm_P1.27mm,2,CC6900SO-30A,C355193
U2,LQFP-64_10x10mm_P0.5mm,1,~,C6807804
U3,SOT-223-3_TabPin2,1,LM1117-3.3,C6186
U4,SOT-23-6,1,USBLC6-2SC6,C2827654
USB1,USB-C-SMD_GT-USB-7052_1,1,GT-USB-7052,C963223
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,"32.768kHz, 9pF",C96341
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,"24MHz, 6pF",C475968
