Designator,Mid X,Mid Y,Rotation,Layer
BT1,149.45,-55.115,180.0,top
BZ1,159.55,-63.05,315.0,top
C1,121.21,-85.05,90.0,top
C10,139.87,-71.19,90.0,top
C11,129.01,-80.91,90.0,top
C12,118.94,-63.73,90.0,top
C13,130.04,-81.2,90.0,top
C14,137.36,-72.7,90.0,top
C15,117.52,-77.48,0.0,top
C16,120.51,-64.5,270.0,top
C17,153.36,-81.05,270.0,top
C18,143.88,-69.26,270.0,top
C19,88.9075,-80.79,180.0,top
C2,124.96,-85.04,90.0,top
C20,86.11,-73.96,0.0,top
C21,133.89,-68.2,180.0,top
C22,82.4,-72.12,180.0,top
C23,154.04,-56.38,270.0,top
C24,88.91,-70.6,270.0,top
C25,110.22,-67.91,270.0,top
C26,91.81,-64.82,90.0,top
C27,93.84,-64.82,90.0,top
C28,95.85,-64.81,90.0,top
C29,83.71,-65.37,90.0,top
C3,116.34,-80.68,0.0,top
C30,135.41,-80.98,270.0,top
C31,140.7,-57.57,90.0,top
C32,117.26,-74.96,0.0,top
C33,134.12,-69.19,180.0,top
C34,121.03,-78.42,270.0,top
C35,158.24,-78.51,180.0,top
C36,140.26,-78.41,180.0,top
C37,134.18,-74.98,180.0,top
C38,134.37,-76.01,180.0,top
C4,116.34,-82.3,0.0,top
C5,121.52,-64.98,270.0,top
C52,112.26,-67.92,270.0,top
C6,99.31,-57.49,180.0,top
C7,117.92,-76.46,0.0,top
C8,134.37,-67.2,180.0,top
C9,99.3,-68.55,90.0,top
D1,128.9775,-61.885,90.0,top
D2,135.373123,-61.40833,215.0,top
D3,77.0,-74.225,90.0,top
F1,162.03,-102.18,270.0,top
F2,138.63,-102.43,90.0,top
FB2,131.32,-81.9475,90.0,top
J1,124.9475,-54.3875,180.0,top
J10,138.59,-107.05,0.0,top
J11,117.12,-72.66,0.0,top
J12,113.95,-72.62,0.0,top
J13,110.9025,-72.4625,0.0,top
J2,107.0,-52.29,0.0,top
J3,154.0,-120.9,90.0,top
J4,99.5,-120.9,90.0,top
J5,117.5,-120.9,90.0,top
J6,135.66,-120.9,90.0,top
J7,162.01,-106.47,0.0,top
J8,161.85,-97.69,0.0,top
J9,138.62,-97.91,0.0,top
L1,93.91,-70.85,90.0,top
L7,127.98,-81.88,270.0,top
Q1,108.6775,-117.33,0.0,top
Q2,108.94,-82.4825,90.0,top
Q3,144.34,-120.5775,180.0,top
Q4,126.0325,-119.94,180.0,top
Q5,165.775,-69.79,270.0,top
R1,127.1675,-60.5075,90.0,top
R10,163.73,-81.3875,90.0,top
R11,138.61,-71.765,90.0,top
R12,161.43,-81.385,90.0,top
R13,145.55,-78.0525,90.0,top
R14,136.11,-73.26,90.0,top
R15,143.25,-78.0625,90.0,top
R19,110.705,-120.03,0.0,top
R2,103.86,-80.21,0.0,top
R20,111.61,-81.285,90.0,top
R21,111.575,-117.41,90.0,top
R22,109.08,-79.78,180.0,top
R23,105.69,-119.94,0.0,top
R24,105.885,-117.06,270.0,top
R25,109.155,-85.2,0.0,top
R26,111.61,-84.3,270.0,top
R27,124.03,-117.24,180.0,top
R28,142.37,-117.91,180.0,top
R29,141.585,-120.78,270.0,top
R3,124.97,-83.09,90.0,top
R30,123.3,-119.995,270.0,top
R31,147.795,-117.94,0.0,top
R32,147.09,-120.795,90.0,top
R33,129.49,-117.29,180.0,top
R34,128.75,-120.025,90.0,top
R35,165.65,-72.54,180.0,top
R36,164.64,-58.01,135.0,top
R37,82.3975,-68.13,180.0,top
R38,82.4075,-70.11,180.0,top
R39,81.69,-65.36,90.0,top
R4,95.905,-53.7,90.0,top
R40,79.155,-64.43,180.0,top
R41,146.39,-62.91,270.0,top
R42,144.87,-62.91,270.0,top
R43,144.54,-53.02,0.0,top
R5,122.6075,-60.5375,270.0,top
R51,101.84,-53.6,90.0,top
R6,93.47,-57.45,180.0,top
R7,84.29,-120.72,0.0,top
R8,91.05,-119.2,0.0,top
R9,133.16,-62.94,35.0,top
SW1,99.337,-53.543,90.0,top
SW2,93.45,-53.68,90.0,top
U1,102.85,-83.8,0.0,top
U10,121.782508,-102.450992,0.0,top
U11,131.007493,-102.459007,180.0,top
U12,157.125,-82.74,0.0,top
U13,144.445,-57.665,180.0,top
U2,126.21,-72.19,0.0,top
U3,104.77,-67.1775,180.0,top
U4,124.8975,-61.63,270.0,top
U5,147.6,-70.95,0.0,top
U6,86.0575,-70.8425,270.0,top
U7,139.16,-82.64,0.0,top
U8,154.762508,-102.480992,0.0,top
U9,145.677493,-102.439008,180.0,top
USB1,87.86,-119.943433,90.0,top
Y1,118.23,-81.49,90.0,top
Y2,123.08,-84.55,90.0,top
